path,loc,top_level_classes,top_level_funcs,imports_from_lattice,imported_by_count,phase_target,final_path,disposition
src/lattice/planner/transport_planner.py,116,1,1,,3,-,planner/transport_planner.py,KEEP
src/lattice/protocol/__init__.py,94,0,0,lattice.protocol.boundaries|lattice.protocol.content|lattice.protocol.manifest|lattice.protocol.multiplex|lattice.protocol.reliability|lattice.protocol.segments,0,-,protocol/__init__.py,KEEP
src/lattice/protocol/boundaries.py,50,2,0,,2,-,protocol/boundaries.py,KEEP
src/lattice/protocol/cache_planner.py,319,6,1,lattice.protocol.manifest|lattice.protocol.segments|lattice.providers.capabilities,6,-,protocol/cache_planner.py,KEEP
src/lattice/protocol/content.py,260,7,6,,13,-,protocol/content.py,KEEP
src/lattice/protocol/dictionary_codec.py,563,2,6,lattice.protocol.dictionary_codec|lattice.protocol.dictionary_static,9,-,protocol/dictionary_codec.py,KEEP
src/lattice/protocol/dictionary_static.py,243,0,4,,2,-,protocol/dictionary_static.py,KEEP
src/lattice/protocol/framing.py,537,5,2,,17,-,protocol/framing.py,KEEP
src/lattice/protocol/manifest.py,389,1,8,lattice.protocol.content|lattice.protocol.segments,16,-,protocol/manifest.py,KEEP
src/lattice/protocol/multiplex.py,152,5,0,lattice.protocol.resume,3,-,protocol/multiplex.py,KEEP
src/lattice/protocol/prefix_canonicalization.py,239,2,6,lattice.core.transport|lattice.protocol.prefix_canonicalization,5,-,protocol/prefix_canonicalization.py,KEEP
src/lattice/protocol/reliability.py,51,2,0,lattice.protocol.framing,3,-,protocol/reliability.py,KEEP
src/lattice/protocol/resume.py,338,5,0,,9,-,protocol/resume.py,KEEP
src/lattice/protocol/segments.py,154,2,4,lattice.protocol.content,13,-,protocol/segments.py,KEEP
src/lattice/providers/__init__.py,36,0,0,lattice.providers.anthropic|lattice.providers.azure|lattice.providers.base|lattice.providers.bedrock|lattice.providers.ollama|lattice.providers.openai|lattice.providers.openai_compatible|lattice.providers.transport,0,-,providers/__init__.py,KEEP
src/lattice/providers/anthropic.py,813,1,0,lattice.core.runtime_state|lattice.core.transport|lattice.gateway.detect_helpers|lattice.gateway.routing|lattice.providers.base|lattice.providers.mcp_to_anthropic|lattice.providers.schema_filter|lattice.providers.stream_state|lattice.providers.tool_sanitizer,6,5a,providers/adapters/anthropic.py,MOVE
src/lattice/providers/azure.py,119,1,0,lattice.core.transport|lattice.gateway.detect_helpers|lattice.providers.openai,2,5a,providers/adapters/azure.py,MOVE
src/lattice/providers/base.py,227,1,5,lattice.core.transport,5,-,providers/base.py,KEEP
src/lattice/providers/bedrock.py,330,1,0,lattice.core.transport|lattice.gateway.detect_helpers|lattice.providers.tool_sanitizer,2,5a,providers/adapters/bedrock.py,MOVE
src/lattice/providers/capabilities.py,635,6,1,,9,-,providers/capabilities.py,KEEP
src/lattice/providers/gemini.py,135,2,0,lattice.core.transport|lattice.gateway.detect_helpers|lattice.providers.openai_compatible,2,5a,providers/adapters/gemini.py,MOVE
src/lattice/providers/mcp_to_anthropic.py,183,1,8,,2,-,providers/mcp_to_anthropic.py,KEEP
src/lattice/providers/ollama.py,443,2,4,lattice.core.transport|lattice.gateway.detect_helpers|lattice.providers.openai,3,5a,providers/adapters/ollama.py,MOVE
src/lattice/providers/openai.py,297,1,0,lattice.core.runtime_state|lattice.core.transport|lattice.gateway.detect_helpers|lattice.gateway.routing|lattice.integrations.codex.auth|lattice.protocol.content,9,5a,providers/adapters/openai.py + openai_compatible.py,SPLIT
src/lattice/providers/openai_compatible.py,253,10,0,lattice.core.transport|lattice.gateway.detect_helpers|lattice.providers.base|lattice.providers.openai,4,-,providers/openai_compatible.py,KEEP
src/lattice/providers/schema_filter.py,220,0,4,,2,-,providers/schema_filter.py,KEEP
src/lattice/providers/stall_detector.py,281,2,0,,4,5b,providers/transport/stall_detector.py,MOVE
src/lattice/providers/stream_state.py,302,3,0,,3,-,providers/stream_state.py,KEEP
